country,query,weight,is_green,sentiment_dist,n_results,date
united_states,Tommy Dorfman,8000.0,"[0, 0, 0, 0, 1, 0, 0, 0, 1]","[0.992, 0.994, 0.07572243971824644, 0.32050899779001873, -0.9223651587963104, 0.8055, 0.9926999999999999, -0.9949232339859009, -0.9867502450942993]",9,2021-07-22 16:00:30.310796
united_states,Eric Clapton,6859.0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[0.668536935488383, 0.5436292939424514, -0.08406405572891235, 0.97402, 0.9656750000000001, 0.9606, -0.9567031860351562, -0.9995055794715881, -0.9963378310203552, -0.18861780869166056, -0.982276052236557, 0.9801, 0.45821040404637653, -0.9896328449249268]",14,2021-07-22 16:00:30.310796
united_states,Anna Faris,5832.0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0.9008333333333334, 0.635208895072937, 0.32170701313018796, 0.336053219350179, 0.5262650818252563, -0.44302488174438476, -0.8007784187793732, 0.00495367360115051, -0.4993180085659027, 0.15852259616851805, -0.9655487835407257, 0.5520651019859314, -0.37755028219223025]",13,2021-07-22 16:00:30.310796
united_states,Dune,4913.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.95075, 0.9757666666666667, 0.06500855756759645, 0.07001066362380981, 0.047775954675674415, 0.97345, 0.12103752961158754, 0.3633828921635946, 0.9974666666666667, 0.9409333333333333, 0.1759722197055817, -0.028601976776123056, 0.99965, 0.9962, 0.9882, 0.5717699013710023, 0.2630008151690165]",17,2021-07-22 16:00:30.310796
united_states,Dr. Dre,4096.0,"[0, 0, 1, 1, 0, 1, 0, 0]","[0.8625499999999999, 0.10940863475799562, -0.1345128925641378, -0.9830773174762726, 0.13094374807357786, -0.45567997362613677, 0.0022537742137909156, -0.9806526303291321]",8,2021-07-22 16:00:30.310796
united_states,Akamai,3375.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.956, 0.95235, 0.98655, 0.2289698927561442, -0.050316073274612405, -0.9995511174201965, -0.6099671204566955, -0.9909386038780212, -0.966338574886322]",9,2021-07-22 16:00:30.310796
united_states,Russell Westbrook,2744.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0.9809, -0.119035248336792, 0.8497224665788504, 0.9699333333333333, -0.8813751041889191, 0.3203225385665893, -0.9730932712554932, -0.38124510781764986, 0.9279999999999999, -0.7859780192375183, 0.019996449136733985]",11,2021-07-22 16:00:30.310796
united_states,Larry Elder,2197.0,"[0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[0.5647371901512146, 0.7893431256008148, 0.97315, -0.9931382238864899, -0.9652775228023529, 0.9498, -0.9853867292404175, 0.9901, -0.8440603812535604, -0.7952388525009155, 0.7383, 0.9986, -0.2009504013824463, -0.9862060546875]",14,2021-07-22 16:00:30.310796
united_states,Lady Gaga,1728.0,"[0, 0, 1, 0, 1, 0, 1, 0]","[0.9936, 0.020430956697463976, -0.14012418599128723, 0.0040806254069010355, 0.9278249999999999, 0.08160620284080505, -0.6756743490695953, 0.9458666666666667]",8,2021-07-22 16:00:30.310796
united_states,Nick Jonas,1331.0,"[0, 0, 1, 1, 0]","[0.9889, 0.20367511671066285, -0.9613285064697266, 0.95685, 0.9722666666666667]",5,2021-07-22 16:00:30.310796
